Collection,Name,Key,BPM,Energy
unlEASHed,I Bruise Easily (Video),Em,130.79,5
unlEASHed,Finesse ,Fm,105,7
unlEASHed,"Padmaavat Song Ghoomar: Deepika Padukone, Shahid Kapoor, Ranveer Singh|Shreya Ghoshal,Swaroop Khan",Dm,83.99,6
unlEASHed,Ban Ja Rani Full Song (Video) | Tumhari Sulu | Guru Randhawa | Vidya Balan | Manav Kaul,Am,102.04,6
unlEASHed,Zindagi Ek Safar Hai  Rajesh Khanna  ( Kishore Kumar) Andaz,F#m,119.77,5
unlEASHed,KREWELLA,F#,128,8
unlEASHed,This Is What You Came For (Official Video),Am,124,7
unlEASHed,Cheerleader (Felix Jaehn Remix),E,118,6
unlEASHed,Rolling in the Deep,Cm,105,6
unlEASHed,Whatcha Say (Video),B,144,6
unlEASHed,Fuck it Off,C#m,100,6
unlEASHed,Don Omar-Dale Don Dale-Instrumental (Prod. By Swizz Beats)_HforzrVF_n0_youtube,F#m,95.01,6
unlEASHed,Sugar ,C#,120,7
unlEASHed,REMO-MUCHACHA LATINA Original Video,Gm,120,7
unlEASHed,The Show Goes on ,Em,143,8
unlEASHed,"Move Your Lakk Video Song | Noor | Sonakshi Sinha & Diljit Dosanjh, Badshah | T-Series",Em,100,8
unlEASHed,Someone Like You,A,134.99,3
unlEASHed,Abusadora,Dm,85,7
unlEASHed,Wild Ones ft. Sia,Fm,127,7
unlEASHed,What Do You Mean?,G#,125,6
unlEASHed,Ace-Hood-Ft.-Future-Rick-Ross-Bugatti-Instrumental,C#m,131,6
unlEASHed,I dont fuck with you,D#m/F#,98,7
unlEASHed,We dont talk anymore,C#m,100,6
unlEASHed,Shape Of My Heart,D,96.03,6
unlEASHed,Latest hindi songs indian music hits top recent most video playlist bollywood  movies,Cm,80,3
unlEASHed,Zoo Zoo Zoobie Zooby | Dance Dance | Sarla Yeolekar | Bollywood Hit Item Songs | Alisha Chinoy,F#m,134.49,5
unlEASHed,Dat $tick ,C#m,108,6
unlEASHed,We R Who We R,G#,120,8
unlEASHed,Esskeetit,F#,140,8
unlEASHed,Too Good Ft. Rihanna,D/Bm,118,7
unlEASHed,"Ae Mere Humsafar Full Video Song | Baazigar | Shahrukh Khan, Kajol | Vinod Rathod & Alka Yagnik",A,118.42,4
unlEASHed,Jar of Hearts,D#,150.04,3
unlEASHed,Rolex | Prod. BL$$D & BackPack Miller | #rolexchallenge,C#m/F#m,145,8
unlEASHed,Rockstar ,Gm,80,6
unlEASHed,Theres Nothing Holdin Me Back,D,122.01,6
unlEASHed,Bad Romance,Am,119,7
unlEASHed,"Beedi (Video Song) | Omkara | Ajay Devgn, Saif Ali Khan & Bipasha Basu",Am,119.99,6
unlEASHed,"Dil Ka Jo Haal Hai Video Song Besharam | Ranbir Kapoor, Pallavi Sharda",D#m,132.97,5
unlEASHed,Headlines ,F#m,152,5
unlEASHed,Drunk In Love FULL ,Fm,140,8
unlEASHed,Full Song | Yeh Dillagi | Saif Ali Khan | Kajol | Abhijeet Bhattacharya,A#m,136.94,6
unlEASHed,"Zara Dil Ko Thaam Lo | Don 2 | Full Title Song | Shahrukh Khan,Lara Dutta ,by www.PakTvCorner.com",Dm,130.03,5
unlEASHed,Full Song | Mujhse Dosti Karoge | Hrithik Roshan | Kareena Kapoor,Cm,139.75,7
unlEASHed,Stronger,D#m,104,7
unlEASHed,Hot In Herre,Em,106.59,6
unlEASHed,Buss It,Bm,92.5,6
unlEASHed,"Mohd Rafi, Joy Mukerji, Asha Parekh, Love In Tokyo Song",Am,111.83,4
unlEASHed,Dua Lipa ��� New Rules  �__,Am,116.01,8
unlEASHed,Stay With Me,C,85,5
unlEASHed,Wild Boy (Remix),D#m,140,7
unlEASHed,E.T. [ Lyrics ],Fm,151.53,7
unlEASHed,MAIN HOON DON,Em,120.03,6
unlEASHed,I�m Not Alone,G,131,6
unlEASHed,Call Me When Youre Sober,G,93.49,7
unlEASHed,SOTY | Alia Bhatt | Sidharth Malhotra | Varun Dhawan,Bm,130.21,7
unlEASHed,Tere Bin Jeena Nahi,D,92.86,2
unlEASHed,Silence,E,142,6
unlEASHed,R.I.P.,Em/F#m,95.6,6
unlEASHed,Jason Deroulo Wiggle Lyrics,Fm,82,6
unlEASHed,Dont Matter,Dm,125.21,6
unlEASHed,Wisin y Yandel lyrics,G#,110.03,7
unlEASHed,Poker Face,G#m,119,7
unlEASHed,Ray J SEXY CAN I Uncensored ft. Yung Berg,Fm,86,6
unlEASHed,Full Song | Mere Brother Ki Dulhan | Imran Khan | Katrina Kaif | Ali Zafar,Fm,134.98,6
unlEASHed,The Devil Is A Lie Instrumental,Fm,103,8
unlEASHed,Bruno Mars - 24K Magic - 320kbps- (Popmaza.com),Fm,107,7
unlEASHed,mera pehla pehla pyaar hai ye end,G#,117.34,4
unlEASHed,The Lazy Song,B,87.5,5
unlEASHed,Shots,Cm,127.68,8
unlEASHed,Believer Imagine Dragons Lyrics,A#m,125,6
unlEASHed,RapGod Lyrics,Gm,148,6
unlEASHed,Good Feeling,E,128,8
unlEASHed,Secrets,D,148.15,6
unlEASHed,#OMW2SYG (Swiggity Swooty),Fm,100,6
unlEASHed,Rishi Kapoor - Dimple - Bobby - Bollywood Evergreen Hits,A#m,121.25,4
unlEASHed,Indian songs bollywood good hits new hd funny nice hindi best latest music video movies new,Dm,119.99,8
unlEASHed,Hurt (Main Video),Em,143.79,4
unlEASHed,Panoramic (Audio),Em,97.51,6
unlEASHed,F**k With U,G#m,98,7
unlEASHed,Main Tera Dhadkan Teri,Dm,110,7
unlEASHed,Hot N Cold,G,132.04,7
unlEASHed,Going Like (Original Mix),Fm,100,8
unlEASHed,"Superhit Classic Hindi Song - Shammi Kapoor, Sharmila Tagore",D#m,119.05,4
unlEASHed,Strange Clouds,G#m,148,6
unlEASHed,"Me, Myself & I - LYRICS [HD]",Cm,112,7
unlEASHed,Dhoom: 2 Crazy Kiya Re HD,F#m,92,4
unlEASHed,What Do You Mean?,G#,125,6
unlEASHed,Gods Plan,Cm,154.4,6
unlEASHed,Red Nose (Lyrics On Screen),Bm,97.5,4
unlEASHed,Going Under,Bm,87.58,7
unlEASHed,Good Enough,C,114.99,3
unlEASHed,"Chinnadana Neekosam Title Full Video Song || Chinnadana Neekosam Video Songs || Nithin, Mishti",Am,126,6
unlEASHed,"Baazigar O Baazigar Full Video Song | Baazigar | Shahrukh Khan, Kajol | Kumar Sanu & Alka Yagnik",Em,106.23,3
unlEASHed,"Jagga Jasoos: Galti Se Mistake Video Song | Ranbir, Katrina | Pritam, Arijit, Amit | Amitabh B",F#m,130,8
unlEASHed,Full Song | Jab Tak Hai Jaan | Shah Rukh Khan | Katrina Kaif | Shreya Ghoshal | A. R. Rahman,F#m/A,81.99,4
unlEASHed,Faded (Lyrics On Screen),Cm,92.15,7
unlEASHed,Wild For The Night *Lyrics* Feat. Skr,F#m,140,7
unlEASHed,"Tamma Tamma Again | Varun , Alia | Bappi L, Anuradha P | Tanishk, Badshah |  Badrinath Ki Dulhania",Dm,122.98,7
unlEASHed,Single Ladies (Put a Ring on It) (Video Version),Em,96.9,8
unlEASHed,Part Of Me,F,130,7
unlEASHed,Lolly,Fm,152.19,8
unlEASHed,Baby Boy (instrumental) - Beyonce Feat. Sean Paul,Cm,91.54,6
unlEASHed,Laila Main Laila | Raees | Shah Rukh Khan | Sunny Leone | Pawni Pandey | Ram Sampath,Em,136,7
unlEASHed,"Ek Duuje Ke Liye - Kamal Hassan, Rati Agnihotri - Old Hindi Song",Bm,108.81,4
unlEASHed,Jason Derulo lyrics,F#m,100.39,7
unlEASHed,Cheap Thrills Ft. Sean Paul [Lyrics] |New 2016|,F#m,90,7
unlEASHed,If I Aint Got You,Em,119.25,4
unlEASHed,Tunnel Vision,Em,86,6
unlEASHed,My Generation,C#m,105.92,7
unlEASHed,FEFE,D#m,126,5
unlEASHed,GotInstrumentals.com,F#,98,6
unlEASHed,Zack Knight- Dum Dee Dee Dum Full Video Song - Jasmin Walia - New Song 2016 - T-Series,C#m,92,7
unlEASHed,rockstar ft. 21 Savage,Gm,80,6
unlEASHed,Piece Of Me,C#m,115,6
unlEASHed,Mohammad Rafi Hit Song - Shammi Kapoor Songs,D,79.65,3
unlEASHed,Stacys Mom,Em,118,7
unlEASHed,Plain Jane REMIX (Audio),D#m,85,6
unlEASHed,Live While Were Young,D,126,7
unlEASHed,"Make Some Noise For Desi Boyz Title Song | Desi Boyz | Akshay Kumar, John Abraham",Dm,142,8
unlEASHed,Ball On These Hoes,Em,129.99,6
unlEASHed,Gods Plan,Cm,154.4,6
unlEASHed,lyrics,F#m,92,3
unlEASHed,"Im Not A Girl, Not Yet A Woman (Video Version Without Movie Footage)",Fm,158,4
unlEASHed,"Badtameez Dil Full Song HD Yeh Jawaani Hai Deewani | Ranbir Kapoor, Deepika Padukone",D#m,110.77,7
unlEASHed,I Gotta Feeling,G,128,6
unlEASHed,Full Video| Shaandaar | Alia Bhatt & Shahid Kapoor | Vishal Dadlani | Amit Trivedi,Gm,152.08,5
unlEASHed,Jealous,Bm,93,7
unlEASHed,All The Right Moves,C,120.15,6
unlEASHed,IDFWU x Kaali Camaro,D#m,98.01,8
unlEASHed,Chal chal mere saathi _�_�_____� ____���� _���_�����_�_�,G#,122.53,4
unlEASHed,Scholarship (DOWNLOAD) (STAY TRIPPY),Fm,153,6
unlEASHed,Yonc̩ (Video),Fm,87.99,6
unlEASHed,"Helen, Ashok Kumar - Howrah Bridge - Bollywood Superhit Song",C,108.67,4
unlEASHed,Ed Sheeran ,G#,95,4
unlEASHed,Full Song | Band Baaja Baaraat | Ranveer Singh | Anushka Sharma,D#m,156,7
unlEASHed,Gas Pedal (Official Video),Fm,97.5,4
unlEASHed,Better Than Me,C,139.87,5
unlEASHed,These Words,F,97,5
unlEASHed,Hotel (Audio),A#m,103,7
unlEASHed,Blockbuster Disco Song - Superhit Cult Song - Jalwa - Naseeruddin Shah,G#,130.78,4
unlEASHed,Umrao Jaan 1981,F,109.04,3
unlEASHed,Swag Se Swagat Song | Tiger Zinda Hai | Salman Khan | Katrina Kaif | Vishal Dadlani | Neha Bhasin,Cm,106,8
unlEASHed,Bring It Back,Am,147,6
unlEASHed,Stacys Mom Lyrics (Full Song),Em,117.99,8
unlEASHed,Full Song | Gunday | Ranveer Singh | Arjun Kapoor | Priyanka Chopra,Cm,126.67,6
unlEASHed,Rehab,C,145.5,7
unlEASHed,Heartless,A#m,87.98,6
unlEASHed,Chennai Express,G#m,127.13,7
